DR Number,Date Reported,Date Occurred,Time Occurred,Area ID,Area Name,Reporting District,Crime Code,Crime Code Description,MO Codes,Victim Age,Victim Sex,Victim Descent,Premise Code,Premise Description,Weapon Used Code,Weapon Description,Status Code,Status Description,Crime Code 1,Crime Code 2,Crime Code 3,Crime Code 4,Address,Cross Street,Location ,Zip Codes
161404878,1/14/2016,1/5/2016,2100,14,Pacific,1494,440,THEFT PLAIN - PETTY ($950 & UNDER),344,33,F,B,212,TRANSPORTATION FACILITY (AIRPORT),,,IC,Invest Cont,440,,,,200    WORLD                        WY,,"(33.9449, -118.4059)",90045
161404880,1/14/2016,1/11/2016,1830,14,Pacific,1487,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,421,45,F,A,210,RESTAURANT/FAST FOOD,,,AO,Adult Other,930,,,,8700 S  SEPULVEDA                    BL,,"(33.9586, -118.3962)",90045
161404881,1/14/2016,1/13/2016,2230,14,Pacific,1488,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,9000    READING                      AV,,"(33.9553, -118.3816)",90045
161404884,1/14/2016,1/14/2016,30,14,Pacific,1437,510,VEHICLE - STOLEN,,0,,,123,PARKING UNDERGROUND/BUILDING,,,IC,Invest Cont,510,,,,3600 S  SEPULVEDA                    BL,,"(34.0167, -118.4202)",90034
161404886,1/14/2016,1/6/2016,900,14,Pacific,1494,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),329,55,F,O,108,PARKING LOT,,,IC,Invest Cont,745,,,,7300    WORLD                        WY,,"(33.942, -118.4206)",90045
161404887,1/14/2016,1/12/2016,140,14,Pacific,1494,440,THEFT PLAIN - PETTY ($950 & UNDER),344,37,F,W,212,TRANSPORTATION FACILITY (AIRPORT),,,AA,Adult Arrest,440,,,,600    WORLD                        WY,,"(33.943, -118.4035)",90045
161404888,1/14/2016,1/7/2016,2145,14,Pacific,1494,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",344,22,F,W,212,TRANSPORTATION FACILITY (AIRPORT),,,IC,Invest Cont,341,,,,400    WORLD                        WY,,"(33.9433, -118.4072)",90045
161404890,1/14/2016,1/12/2016,650,14,Pacific,1494,440,THEFT PLAIN - PETTY ($950 & UNDER),344,46,F,W,212,TRANSPORTATION FACILITY (AIRPORT),,,IC,Invest Cont,440,,,,300    WORLD                        WY,,"(33.944, -118.4073)",90045
161404895,1/14/2016,1/10/2016,2030,14,Pacific,1494,440,THEFT PLAIN - PETTY ($950 & UNDER),344,56,F,O,212,TRANSPORTATION FACILITY (AIRPORT),,,IC,Invest Cont,440,,,,300    WORLD                        WY,,"(33.944, -118.4073)",90045
161404896,1/14/2016,1/8/2016,1500,14,Pacific,1494,330,BURGLARY FROM VEHICLE,344,31,F,O,212,TRANSPORTATION FACILITY (AIRPORT),,,IC,Invest Cont,330,,,,100    WORLD                        WY,,"(33.9451, -118.4029)",90045
161404897,1/14/2016,1/13/2016,1200,14,Pacific,1455,440,THEFT PLAIN - PETTY ($950 & UNDER),344,22,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,440,,,,12500    CULVER                       BL,,"(33.9893, -118.4222)",90066
161404898,1/14/2016,1/4/2016,1850,14,Pacific,1453,440,THEFT PLAIN - PETTY ($950 & UNDER),344,32,F,A,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,440,,,,4000    GLENCOE                      AV,,"(33.992, -118.4448)",90292
161404899,1/14/2016,1/13/2016,2100,14,Pacific,1438,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,GLENDON,CHARNOCK,"(34.0215, -118.4118)",90034
161404902,1/14/2016,1/13/2016,1800,14,Pacific,1479,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,8100    WINSFORD                     AV,,"(33.965, -118.3805)",90045
161404903,1/14/2016,1/3/2016,2330,14,Pacific,1445,626,INTIMATE PARTNER - SIMPLE ASSAULT,0416 2000,34,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,626,,,,12700    CASWELL                      AV,,"(33.9988, -118.436)",90066
161404904,1/14/2016,1/10/2016,1300,14,Pacific,1412,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,WESTMINSTER,MAIN,"(33.9911, -118.471)",90291
161404908,1/14/2016,1/12/2016,2110,14,Pacific,1409,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",329,0,M,X,203,OTHER BUSINESS,,,IC,Invest Cont,740,,,,9200    VENICE                       BL,,"(34.0265, -118.3933)",90034
161404912,1/14/2016,1/12/2016,1900,14,Pacific,1415,440,THEFT PLAIN - PETTY ($950 & UNDER),344,25,M,W,116,OTHER/OUTSIDE,,,IC,Invest Cont,440,,,,1000    DOREEN                       PL,,"(34.0003, -118.4606)",90291
161404913,1/14/2016,1/14/2016,130,14,Pacific,1425,330,BURGLARY FROM VEHICLE,344,44,F,O,707,GARAGE/CARPORT,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,330,,,,3100 S  BARRINGTON                   AV,,"(34.0214, -118.4376)",90066
161404914,1/14/2016,1/14/2016,1130,14,Pacific,1431,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",329,0,M,W,101,STREET,,,AA,Adult Arrest,740,,,,INNES,MARKET,"(33.9887, -118.4721)",90291
161404916,1/14/2016,1/13/2016,1600,14,Pacific,1415,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",329,58,M,W,108,PARKING LOT,,,IC,Invest Cont,740,,,,100    LINCOLN                      BL,,"(34.0025, -118.4702)",90405
161404918,1/14/2016,1/13/2016,2200,14,Pacific,1437,330,BURGLARY FROM VEHICLE,344,26,M,W,707,GARAGE/CARPORT,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,330,,,,3600 S  SEPULVEDA                    BL,,"(34.0167, -118.4202)",90034
161404921,1/13/2016,1/9/2016,100,14,Pacific,1402,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0352 1221,28,F,A,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,341,,,,2800    SAWTELLE                     BL,,"(34.0283, -118.433)",90064
161404925,1/14/2016,1/10/2016,1345,14,Pacific,1497,330,BURGLARY FROM VEHICLE,344,35,M,B,203,OTHER BUSINESS,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,330,,,,5200 W  CENTURY                      BL,,"(33.9454, -118.3701)",90045
161404933,1/14/2016,1/14/2016,1640,14,Pacific,1494,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 1402,0,M,W,212,TRANSPORTATION FACILITY (AIRPORT),,,AA,Adult Arrest,341,998,,,500    WORLD WAY,,"(33.9428, -118.4054)",90045
161404935,1/15/2016,1/14/2016,2330,14,Pacific,1445,210,ROBBERY,0344 0400 0416 1601 0906,20,M,H,103,ALLEY,308,STICK,IC,Invest Cont,210,,,,12700    MATTESON                     AV,,"(33.9997, -118.4366)",90066
161404937,1/15/2016,1/14/2016,2335,14,Pacific,1469,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0400 0416 1601 0913,47,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",212,BOTTLE,AO,Adult Other,230,,,,6900    GLASGOW                      AV,,"(33.9748, -118.3725)",90045
161404938,1/14/2016,1/14/2016,1,14,Pacific,1425,310,BURGLARY,0324 0344,46,F,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310,,,,3100    BARRY                        AV,,"(34.0215, -118.436)",90066
161404939,1/14/2016,1/14/2016,715,14,Pacific,1473,310,BURGLARY,0321 0344,67,F,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310,,,,7400 W  85TH                         ST,,"(33.9607, -118.4264)",90045
